town,age_group,males_white_non_hispanic,males_black,males_am_indian,males_pac_islander,males_hispanic,females_white_non_hispanic,females_black,females_am_indian,females_pac_islander,females_hispanic
Andover,0--4,127,2,1,3,4,91,1,0,3,3
,5--9,127,2,0,0,2,107,1,0,2,1
,10--14,110,1,1,0,2,109,0,0,0,4
,15--19,73,3,1,0,2,75,2,0,0,3
,20--24,55,1,0,1,1,41,0,0,0,2
,25--29,68,0,0,1,1,69,0,0,0,1
,30--34,118,0,0,2,2,128,1,0,2,4
,35--39,132,1,0,1,1,147,1,0,0,1
,40--44,192,5,0,0,4,176,2,2,0,2
,45--49,141,4,0,0,1,147,1,1,0,1
,50--54,117,1,1,0,0,105,1,2,1,0
,55--59,69,1,1,2,0,78,0,0,0,1
,60--64,50,1,2,0,1,51,2,0,0,2
,65--69,33,0,0,0,0,29,0,0,0,1
,70--74,29,0,0,0,0,32,0,0,0,1
,75--79,18,0,0,0,0,33,0,0,0,0
,80--84,17,0,0,0,0,18,0,0,0,0
,85+,6,0,0,0,0,17,0,0,0,0
Ansonia,0--4,458,96,4,18,92,434,92,4,9,78
,5--9,432,105,3,13,79,485,87,3,7,90
,10--14,469,78,6,8,82,441,84,2,6,54
,15--19,429,60,2,8,71,399,68,0,5,56
,20--24,427,40,2,9,48,458,74,2,7,54
,25--29,462,31,3,16,46,497,57,0,21,62
,30--34,608,61,2,11,54,592,66,6,24,67
,35--39,618,53,4,15,75,681,69,6,6,61
,40--44,681,39,1,7,43,640,59,0,14,58
,45--49,493,42,4,2,27,518,42,2,6,33
,50--54,466,27,2,5,21,490,45,1,2,31
,55--59,377,19,1,4,16,413,30,3,2,27
,60--64,294,24,2,0,12,328,27,2,0,15
,65--69,260,16,0,0,5,296,24,1,3,8
,70--74,264,16,0,0,3,369,15,1,6,1
,75--79,264,9,0,2,3,389,27,0,1,4
,80--84,170,6,0,1,1,299,16,3,1,5
,85+,111,5,0,0,1,241,10,1,0,5
Ashford,0--4,136,2,1,1,6,102,1,0,1,3
,5--9,139,2,0,3,6,131,5,1,2,2
,10--14,139,1,0,2,5,174,1,1,0,6
,15--19,129,1,1,1,4,115,5,0,0,6
,20--24,117,2,1,8,3,126,2,0,3,8
,25--29,121,3,0,5,2,101,2,0,3,4
,30--34,146,1,0,2,4,152,0,0,5,2
,35--39,171,2,1,0,5,179,1,0,2,3
,40--44,175,2,1,0,0,206,2,2,0,0
,45--49,179,2,0,2,1,186,4,1,1,2
,50--54,142,2,1,1,4,141,0,1,2,1
,55--59,126,0,0,0,0,110,0,0,1,1
,60--64,72,0,0,0,0,67,0,0,0,2
,65--69,57,0,0,0,1,39,1,0,1,1
,70--74,35,1,0,0,0,46,0,0,1,1
,75--79,34,1,0,0,0,35,0,0,0,0
,80--84,19,2,1,0,0,30,0,0,0,0
,85+,13,0,0,0,0,26,0,0,0,0
Avon,0--4,492,3,4,26,18,439,4,0,22,21
,5--9,605,8,2,21,12,596,12,0,24,11
,10--14,541,18,0,26,18,547,6,0,21,13
,15--19,402,4,0,18,8,405,6,2,14,9
,20--24,126,2,0,1,4,156,2,0,16,3
,25--29,189,2,0,12,6,207,3,0,18,6
,30--34,381,4,0,12,6,419,5,0,23,9
,35--39,553,7,0,25,10,657,14,0,27,17
,40--44,693,8,0,20,12,727,8,1,30,11
,45--49,655,10,0,21,8,710,8,3,15,11
,50--54,650,5,0,12,3,689,10,0,14,10
,55--59,492,5,0,16,2,519,7,0,13,7
,60--64,386,5,0,10,2,395,2,0,9,2
,65--69,302,2,0,6,3,277,4,0,7,3
,70--74,262,0,0,3,0,339,3,0,2,4
,75--79,234,0,0,2,0,292,1,1,2,1
,80--84,121,0,0,1,1,200,0,2,4,0
,85+,97,0,0,2,0,202,0,0,1,1
Barkhamsted,0--4,88,4,1,4,4,91,2,0,2,2
,5--9,133,0,0,1,3,122,0,0,0,3
,10--14,124,0,0,2,2,129,0,0,0,1
,15--19,120,0,0,1,1,103,0,0,0,0
,20--24,49,0,0,0,1,55,0,0,0,1
,25--29,70,0,0,1,0,73,0,0,0,1
,30--34,129,0,0,0,1,131,0,0,1,1
,35--39,159,0,0,0,1,154,0,0,0,0
,40--44,179,1,0,1,0,182,0,1,2,3
,45--49,171,0,0,1,1,164,0,0,1,1
,50--54,145,0,0,0,0,153,0,0,0,2
,55--59,107,0,0,0,0,110,0,0,0,0
,60--64,87,0,0,1,0,70,0,0,0,0
,65--69,53,0,1,0,1,58,0,0,0,0
,70--74,50,0,0,0,0,38,0,1,1,0
,75--79,32,1,0,0,0,39,0,0,0,0
,80--84,21,0,0,0,1,29,0,0,0,0
,85+,13,0,0,0,0,11,0,0,0,1
Beacon Falls,0--4,183,2,1,6,9,142,0,0,4,5
,5--9,180,3,2,3,6,159,2,0,1,5
,10--14,195,1,0,1,4,184,1,0,1,5
,15--19,165,1,0,0,4,150,1,0,1,3
,20--24,124,0,0,5,4,112,0,0,2,7
,25--29,132,2,0,8,6,154,1,0,10,5
,30--34,221,2,2,5,6,221,0,0,2,7
,35--39,232,4,0,2,3,248,5,0,2,1
,40--44,262,0,1,1,8,272,1,1,1,9
,45--49,200,1,0,0,2,186,2,0,2,4
,50--54,173,3,0,0,3,181,3,0,1,1
,55--59,144,2,0,1,4,150,0,0,1,2
,60--64,89,1,0,2,0,87,0,0,2,1
,65--69,59,0,0,0,0,74,1,0,0,0
,70--74,60,0,0,1,0,66,0,0,1,0
,75--79,56,0,0,0,1,57,0,0,0,0
,80--84,32,0,0,0,0,48,0,0,0,0
,85+,19,0,0,0,0,31,0,0,0,0
Berlin,0--4,481,1,2,14,12,482,1,1,14,16
,5--9,624,7,2,19,9,571,4,0,18,15
,10--14,671,3,0,18,12,664,4,0,19,18
,15--19,566,5,1,14,9,522,1,1,17,8
,20--24,348,2,0,5,6,267,2,0,13,4
,25--29,322,2,0,8,4,344,1,0,3,10
,30--34,516,3,0,10,9,535,4,1,15,9
,35--39,698,4,0,11,12,744,3,0,14,13
,40--44,809,2,1,13,13,879,3,0,16,15
,45--49,809,4,0,9,4,771,1,0,11,14
,50--54,642,6,3,13,7,670,4,1,8,8
,55--59,478,0,0,9,5,470,1,0,3,6
,60--64,332,3,0,3,6,401,1,0,3,5
,65--69,341,3,0,1,3,388,1,0,3,4
,70--74,341,2,1,1,4,440,2,0,1,4
,75--79,288,0,0,1,1,399,1,0,2,1
,80--84,206,1,0,0,0,288,0,1,0,1
,85+,90,0,1,0,0,213,0,0,1,3
Bethany,0--4,168,5,0,4,4,131,3,0,4,8
,5--9,204,7,2,5,6,171,2,2,5,9
,10--14,197,3,2,7,4,197,1,2,1,4
,15--19,140,2,1,12,3,146,2,0,3,7
,20--24,66,2,0,0,2,69,2,0,4,0
,25--29,71,2,0,0,1,56,5,0,2,1
,30--34,130,5,0,0,3,143,1,1,1,8
,35--39,197,3,0,3,4,203,4,0,6,3
,40--44,244,1,1,5,4,260,1,1,5,4
,45--49,233,4,2,4,2,263,8,1,5,8
,50--54,208,6,0,1,1,180,4,0,2,2
,55--59,153,2,0,1,1,149,2,0,2,1
,60--64,94,3,1,1,2,89,5,0,1,0
,65--69,78,2,0,0,0,86,5,0,1,1
,70--74,89,1,0,0,0,94,2,0,1,1
,75--79,63,1,0,1,1,70,1,0,0,4
,80--84,38,1,0,0,2,28,2,0,0,1
,85+,11,0,0,0,1,34,1,0,0,0
Bethel,0--4,559,13,2,32,30,539,9,2,38,26
,5--9,641,8,4,22,37,617,14,0,41,32
,10--14,663,12,4,38,33,600,9,2,39,34
,15--19,567,10,3,31,25,508,7,0,19,29
,20--24,348,4,2,17,25,309,4,2,17,21
,25--29,372,10,0,17,35,424,13,1,28,33
,30--34,581,13,0,28,31,631,7,1,35,32
,35--39,746,6,2,34,34,850,17,1,32,28
,40--44,795,9,0,32,32,739,12,1,35,36
,45--49,674,9,0,26,21,718,10,4,24,23
,50--54,583,12,0,22,22,624,11,0,26,16
,55--59,464,4,2,14,5,500,7,0,7,6
,60--64,314,9,0,5,1,301,4,0,10,4
,65--69,241,4,0,5,6,264,3,0,5,5
,70--74,203,2,0,3,1,229,4,0,3,6
,75--79,158,1,0,2,0,234,1,0,6,2
,80--84,77,1,0,3,1,167,1,0,3,4
,85+,40,0,0,0,1,161,0,0,0,1
Bethlehem,0--4,92,4,1,2,1,72,0,0,0,3
,5--9,117,0,0,1,1,127,2,0,6,0
,10--14,138,0,0,3,1,123,0,0,0,2
,15--19,97,0,0,1,0,132,3,0,3,0
,20--24,43,0,0,3,0,43,1,0,0,1
,25--29,52,0,0,1,1,47,0,0,2,0
,30--34,87,0,0,1,0,91,0,0,1,1
,35--39,121,1,0,1,2,142,1,0,2,2
,40--44,170,0,1,2,2,175,0,0,1,0
,45--49,173,0,1,1,1,181,0,0,0,0
,50--54,167,0,0,0,0,169,1,0,1,1
,55--59,121,2,0,0,1,114,0,0,0,0
,60--64,59,2,0,0,1,67,0,0,0,0
,65--69,51,0,0,0,0,59,0,0,0,0
,70--74,62,0,0,0,0,60,0,0,0,1
,75--79,31,0,0,1,0,45,0,0,0,0
,80--84,27,0,0,0,0,51,0,0,0,0
,85+,18,0,0,0,0,36,0,0,0,0
Bloomfield,0--4,107,339,0,24,33,120,339,1,9,35
,5--9,94,459,4,18,36,88,408,3,9,33
,10--14,111,521,5,11,46,101,494,2,10,40
,15--19,83,452,2,9,24,90,388,1,7,27
,20--24,83,250,1,11,26,112,249,3,9,22
,25--29,128,216,1,16,17,121,278,1,19,32
,30--34,142,336,1,19,24,137,394,0,17,32
